Vitenskapelig navn;Norsk navn;Artsgruppe;Norge/Svalbard;Definisjonsavgrensning;Risiko;TaxonId
Carassius auratus;gullfisk;Fisker;N;Fremmed art;HI - Høy risiko;26114
Celastrus orbicularis;;Karplanter;N;Fremmed art;HI - Høy risiko;84786
Celtodoryx ciocalyptoides;;Svamper, nesledyr, kammaneter;N;Dørstokkart;HI - Høy risiko;85996
Centaurea montana;honningknoppurt;Karplanter;N;Fremmed art;HI - Høy risiko;60450
Centaurea nigra nemoralis;ballastknoppurt;Karplanter;N;Fremmed art;HI - Høy risiko;60452
Cicerbita macrophylla;;Karplanter;N;Fremmed art;HI - Høy risiko;60465
Cicerbita plumieri;alpeturt;Karplanter;N;Fremmed art;HI - Høy risiko;60467
Codium fragile;pollpryd;Alger;N;Fremmed art;HI - Høy risiko;65924
Corella eumyota;;Armfotinger, pigghuder, kappedyr;N;Dørstokkart;HI - Høy risiko;85389
Cotoneaster moupinensis;mørkmispel;Karplanter;N;Fremmed art;HI - Høy risiko;63239
Cotoneaster tomentosus;filtmispel;Karplanter;N;Fremmed art;HI - Høy risiko;63246
Crataegus laevigata;parkhagtorn;Karplanter;N;Fremmed art;HI - Høy risiko;63251
Crataegus sanguinea;sibirhagtorn;Karplanter;N;Fremmed art;HI - Høy risiko;63258
Crepidula fornicata;;Bløtdyr;N;Fremmed art;HI - Høy risiko;80004
Crepis biennis;veihaukeskjegg;Karplanter;N;Fremmed art;HI - Høy risiko;60496
Cronartium ribicola;solbærfiltrust;Sopper;N;Fremmed art;HI - Høy risiko;80690
Culex pipiens;liten husmygg;Tovinger;N;Fremmed art;HI - Høy risiko;18628
Dama dama;dåhjort;Pattedyr;N;Fremmed art;HI - Høy risiko;31255
Daphnia ambigua;;Krepsdyr;N;Fremmed art;HI - Høy risiko;85547
Daphnia parvula;;Krepsdyr;N;Dørstokkart;HI - Høy risiko;85548
Doronicum macrophyllum;kjempegullkurv;Karplanter;N;Fremmed art;HI - Høy risiko;60510
Dreissena bugensis;;Bløtdyr;N;Dørstokkart;HI - Høy risiko;86548
Echinops sphaerocephalus;kuletistel;Karplanter;N;Fremmed art;HI - Høy risiko;60518
Elminius modestus;;Krepsdyr;N;Dørstokkart;HI - Høy risiko;85989
Erysiphe hypophylla;;Sopper;N;Fremmed art;HI - Høy risiko;85430
Festuca ovina capillata;grannsvingel;Karplanter;N;Fremmed art;HI - Høy risiko;60004
Festuca rubra megastachys;engrødsvingel;Karplanter;N;Fremmed art;HI - Høy risiko;60010
Filipendula kamtschatica;kjempemjødurt;Karplanter;N;Fremmed art;HI - Høy risiko;63267
Fragaria moschata;moskusjordbær;Karplanter;N;Fremmed art;HI - Høy risiko;63275
Geum aleppicum;russehumleblom;Karplanter;N;Fremmed art;HI - Høy risiko;63280
